V1,V2,V3
174.6,-1.063636363,-399
174.62,-1.063636363,-449
174.64,-1.063636363,-599
174.66,-1.063636363,-656
174.68,-1.063636363,-769
174.7,-1.063636363,-1113
174.72,-1.063636363,-1596
174.74,-1.063636363,-2086
174.76,-1.063636363,-2537
174.78,-1.063636363,-2920
174.8,-1.063636363,-3231
174.6,-1.0831168825,-468
174.62,-1.0831168825,-395
174.64,-1.0831168825,-445
174.66,-1.0831168825,-352
174.68,-1.0831168825,-325
174.7,-1.0831168825,-622
174.72,-1.0831168825,-1064
174.74,-1.0831168825,-1525
174.76,-1.0831168825,-2005
174.78,-1.0831168825,-2452
174.8,-1.0831168825,-2849
174.6,-1.102597402,-648
174.62,-1.102597402,-344
174.64,-1.102597402,-215
174.66,-1.102597402,-29
174.68,-1.102597402,4
174.7,-1.102597402,-46
174.72,-1.102597402,-178
174.74,-1.102597402,-513
174.76,-1.102597402,-934
174.78,-1.102597402,-1412
174.8,-1.102597402,-1906
174.6,-1.1220779215,-804
174.62,-1.1220779215,-348
174.64,-1.1220779215,-77
174.66,-1.1220779215,4
174.68,-1.1220779215,-16
174.7,-1.1220779215,1
174.72,-1.1220779215,-51
174.74,-1.1220779215,-212
174.76,-1.1220779215,-493
174.78,-1.1220779215,-909
174.8,-1.1220779215,-1387
174.6,-1.141558441,-1087
174.62,-1.141558441,-517
174.64,-1.141558441,-36
174.66,-1.141558441,39
174.68,-1.141558441,-4
174.7,-1.141558441,-6
174.72,-1.141558441,-28
174.74,-1.141558441,-58
174.76,-1.141558441,-158
174.78,-1.141558441,-496
174.8,-1.141558441,-919
174.6,-1.1610389605,-1688
174.62,-1.1610389605,-975
174.64,-1.1610389605,-361
174.66,-1.1610389605,-43
174.68,-1.1610389605,-12
174.7,-1.1610389605,-1
174.72,-1.1610389605,5
174.74,-1.1610389605,-28
174.76,-1.1610389605,-54
174.78,-1.1610389605,-231
174.8,-1.1610389605,-536
174.6,-1.18051948,-2341
174.62,-1.18051948,-1479
174.64,-1.18051948,-725
174.66,-1.18051948,-227
174.68,-1.18051948,-8
174.7,-1.18051948,-23
174.72,-1.18051948,-3
174.74,-1.18051948,5
174.76,-1.18051948,-1
174.78,-1.18051948,-74
174.8,-1.18051948,-250
174.6,-1.1999999995,-2561
174.62,-1.1999999995,-1788
174.64,-1.1999999995,-1013
174.66,-1.1999999995,-439
174.68,-1.1999999995,-117
174.7,-1.1999999995,-32
174.72,-1.1999999995,-22
174.74,-1.1999999995,1
174.76,-1.1999999995,1
174.78,-1.1999999995,1
174.8,-1.1999999995,-73
174.6,-1.219480519,-2728
174.62,-1.219480519,-2024
174.64,-1.219480519,-1263
174.66,-1.219480519,-681
174.68,-1.219480519,-255
174.7,-1.219480519,-98
174.72,-1.219480519,-56
174.74,-1.219480519,-8
174.76,-1.219480519,-5
174.78,-1.219480519,4
174.8,-1.219480519,1
174.6,-1.2389610385,-2919
174.62,-1.2389610385,-2328
174.64,-1.2389610385,-1674
174.66,-1.2389610385,-1015
174.68,-1.2389610385,-489
174.7,-1.2389610385,-220
174.72,-1.2389610385,-104
174.74,-1.2389610385,-23
174.76,-1.2389610385,-5
174.78,-1.2389610385,-4
174.8,-1.2389610385,-8
174.6,-1.258441558,-3142
174.62,-1.258441558,-2691
174.64,-1.258441558,-2138
174.66,-1.258441558,-1371
174.68,-1.258441558,-690
174.7,-1.258441558,-360
174.72,-1.258441558,-207
174.74,-1.258441558,-48
174.76,-1.258441558,-8
174.78,-1.258441558,-5
174.8,-1.258441558,-6
174.6,-1.2779220775,-3475
174.62,-1.2779220775,-3047
174.64,-1.2779220775,-2471
174.66,-1.2779220775,-1689
174.68,-1.2779220775,-956
174.7,-1.2779220775,-504
174.72,-1.2779220775,-256
174.74,-1.2779220775,-91
174.76,-1.2779220775,-7
174.78,-1.2779220775,-5
174.8,-1.2779220775,-2
174.6,-1.297402597,-3723
174.62,-1.297402597,-3310
174.64,-1.297402597,-2780
174.66,-1.297402597,-1951
174.68,-1.297402597,-1148
174.7,-1.297402597,-642
174.72,-1.297402597,-328
174.74,-1.297402597,-135
174.76,-1.297402597,-51
174.78,-1.297402597,-5
174.8,-1.297402597,-6
174.6,-1.3168831165,-3738
174.62,-1.3168831165,-3419
174.64,-1.3168831165,-2939
174.66,-1.3168831165,-2393
174.68,-1.3168831165,-1739
174.7,-1.3168831165,-1038
174.72,-1.3168831165,-445
174.74,-1.3168831165,-207
174.76,-1.3168831165,-126
174.78,-1.3168831165,-53
174.8,-1.3168831165,-24
174.6,-1.336363636,-3770
174.62,-1.336363636,-3518
174.64,-1.336363636,-3161
174.66,-1.336363636,-2675
174.68,-1.336363636,-2061
174.7,-1.336363636,-1350
174.72,-1.336363636,-716
174.74,-1.336363636,-324
174.76,-1.336363636,-125
174.78,-1.336363636,-50
174.8,-1.336363636,-35
